"","sector_wo","poll","grid","value","value_all_sector","value_om_sector","diff","status"
"218","agroob","NOx","d04",648146.00864645,648983.45569289,837.446578817233,0.000467623094664305,"PASS"
"219","agroob","CO","d04",3488533.0070075,3550511.07530705,61978.0706290492,0.00232949765631929,"PASS"
"220","agroob","NMVOC","d04",413096.158605147,415614.232028473,2518.07291554795,0.000507778177052387,"PASS"
"221","agroob","NH3","d04",68972.9301474844,70358.6406180057,1385.71076991083,0.000299389557767427,"PASS"
"222","agroob","PM","d04",231510.366639542,237487.929682776,5977.56319228838,0.000149054412759142,"PASS"
"223","agroob","CH4","d04",34494.1527589968,35946.6385715106,1452.48582514909,1.26353079394903e-05,"PASS"
"224","agroob","BC","d04",29618.8577979096,29806.4708883832,187.6130459695,4.45041088141807e-05,"PASS"
"225","agroob","OC","d04",59915.4394264021,60955.6531900618,1040.21373912758,2.45321280090138e-05,"PASS"
"226","aviation","SO2","d04",43829.2444766848,44757.2985669742,928.053818307817,0.000271981611149386,"PASS"
"227","aviation","NOx","d04",634520.521582308,648983.45569289,14462.933549881,0.000560701591894031,"PASS"
"228","aviation","CO","d04",3541376.68970235,3550511.07530705,9134.38832223415,0.00271753687411547,"PASS"
"229","aviation","NMVOC","d04",413573.379580991,415614.232028473,2040.85187528282,0.000572199001908302,"PASS"
"230","aviation","NH3","d04",70358.6409060014,70358.6406180057,0,0.000287995673716068,"PASS"
"231","aviation","PM","d04",237331.065517346,237487.929682776,156.864295369014,0.000129938911413774,"PASS"
"232","aviation","CH4","d04",35901.3670864549,35946.6385715106,45.2714985050261,1.34493602672592e-05,"PASS"
"233","aviation","BC","d04",29776.6749465401,29806.4708883832,29.7958994004875,4.24425525125116e-05,"PASS"
"234","aviation","OC","d04",60910.1994275285,60955.6531900618,45.4537435853854,1.89479760592803e-05,"PASS"
"235","comres","SO2","d04",42139.9773280229,44757.2985669742,2617.32111219499,0.000126756340705469,"PASS"
"236","comres","NOx","d04",634947.437035899,648983.45569289,14036.0168461923,0.00181079846697685,"PASS"
"237","comres","CO","d04",3483173.62237473,3550511.07530705,67337.4556032307,0.00267090974375606,"PASS"
"238","comres","NMVOC","d04",409355.190044499,415614.232028473,6259.0410758616,0.000908111980606918,"PASS"
"239","comres","NH3","d04",69728.3182858069,70358.6406180057,630.322722933875,0.000390735055816549,"PASS"
"240","comres","PM","d04",228480.611712822,237487.929682776,9007.31814108709,0.000171133364347043,"PASS"
"241","comres","CH4","d04",27600.4038958051,35946.6385715106,8346.2346628079,1.28976207633968e-05,"PASS"
"242","comres","BC","d04",27807.0354361014,29806.4708883832,1999.43549970877,4.74269916139747e-05,"PASS"
"243","comres","OC","d04",58396.766286384,60955.6531900618,2558.88701307869,0.000109400898054446,"PASS"
"244","forest","SO2","d04",44757.2982792287,44757.2985669742,0,0.000287745584500954,"PASS"
"245","forest","NOx","d04",648983.455232365,648983.45569289,0,0.000460525508970022,"PASS"
"246","forest","CO","d04",3550511.07779731,3550511.07530705,0,0.0024902606382966,"PASS"
"247","forest","NMVOC","d04",415614.231526998,415614.232028473,0,0.000501474365592003,"PASS"
"248","forest","NH3","d04",70358.6409060014,70358.6406180057,0,0.000287995673716068,"PASS"
