country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
IDN,Indonesia,Pacitan power station,WRI1075812,630,-8.2578,111.3736,Coal,,,,2011,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,2584.43255
IDN,Indonesia,Pejengkolan/Mrica,WRI1000801,1.4,-7.5694,109.8006,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026121,,,,,,,4.651117907
IDN,Indonesia,Pekanbaru Tenayan power station,WRI1075813,220,0.5644,101.5234,Coal,,,,2016,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,902.5002557
IDN,Indonesia,Pemaron BOO,WRI1000802,45,-8.1189,115.0887,Oil,,,,,PT. Cogindo DayaBersama - rental,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1054581,,,,,,,1641.408211
IDN,Indonesia,Perawang Mill power station,WRI1075814,755,0.6893,101.6191,Coal,,,,2009,PT Indah Kiat Pulp & Paper,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,3097.216787
IDN,Indonesia,Pesanggaran,WRI1000803,75.78,-8.7157,115.214,Oil,,,,,INDONESIA POWER UNIT,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026037,,,,,,,2764.131427
IDN,Indonesia,Pesanggaran BOO,WRI1000804,75,-8.7157,115.214,Oil,,,,,Anggreko International - rental,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026037,,,,,,,2735.680351
IDN,Indonesia,Pesanggaran BOT,WRI1000805,51,-8.7157,115.214,Oil,,,,,Anggreko International - rental,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026037,,,,,,,1860.262639
IDN,Indonesia,Plengan/Saguling,WRI1000806,6.87,-6.9039,107.6186,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,22.82370002
IDN,Indonesia,Purwakarta Indorama Power Station,WRI1075815,60,-6.5539,107.4137,Coal,,,,2006,PT Indorama Synthetics Tbk,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,246.1364334
IDN,Indonesia,Riam Kanan/pangeran Muhamad Nur,WRI1001004,30,-3.5156,115.0074,Hydro,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,99.66681229
IDN,Indonesia,Saguling,WRI1001005,700.72,-6.9126,107.3663,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026135,,,,,,,2327.950957
IDN,Indonesia,Sempor/Mrica,WRI1001009,1,-7.4733,109.3331,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1050218,,,,,,,3.322227076
IDN,Indonesia,Sengguruh - Brantas,WRI1001010,29,-8.1764,112.551,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026143,,,,,,,96.34458522
IDN,Indonesia,Sidorejo/Mrica,WRI1001013,1.4,-7.4764,110.2622,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1050222,,,,,,,4.651117907
IDN,Indonesia,Sigura gura (asahan II),WRI1001014,286,2.5196,99.2793,Hydro,,,,,PT. Indonesia Asahan aluminium,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,950.1569439
IDN,Indonesia,Silae,WRI1001015,43.7,-0.8917,119.8707,Oil,,,,,PLN-Nth & Ctrl Sulawesi & Gorontalo Reg Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026112,,,,,,,1593.989751
IDN,Indonesia,Singkarak,WRI1001017,175,-0.6909,100.6034,Hydro,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026146,,,,,,,581.3897384
IDN,Indonesia,Sipansihaporas,WRI1001018,50,1.7427,98.7792,Hydro,,,,,PLN - North Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1055420,,,,,,,166.1113538
IDN,Indonesia,Sulawesi Mining power station,WRI1075816,280,-2.8274,122.1553,Coal,,,,2016,Sulawesi Mining Investment,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,1148.636689
IDN,Indonesia,Suppa - Pare pare,WRI1001020,60,-4.0135,119.6255,Oil,,,,,PT. Makasar Power (Alsons Power Holdings Corp + Toyota Tsusho Corp/Tomen + Singapore Power),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026118,,,,,,,2188.544281
IDN,Indonesia,Sutami / Karangkates - Brantas,WRI1001021,105,-8.1606,112.4443,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026154,,,,,,,348.833843
IDN,Indonesia,Talang Padang,WRI1001023,12.5,-0.9492,100.3543,Oil,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1093596,,,,,,,455.9467252
IDN,Indonesia,Tangga (asahan II),WRI1001024,317,2.5479,99.3028,Hydro,,,,,PT. Indonesia Asahan aluminium,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1025945,,,,,,,1053.145983
IDN,Indonesia,Tanjung Awar-Awar power station,WRI1075817,700,-6.8105,111.9955,Coal,,,,2012,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,2871.591723
