longitude,latatitude,Name,No,Jenis.Industri,Group Description,Kab.Kota,Provinsi,query,distance_from_jakarta_km
106.932745,-6.105418,PT. Indofood Sukses Makmur. Tbk. Divisi Bogasari Jakarta,323,Tepung,Food & Beverage,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",15.01259281
106.9794826,-6.2104822,PT. Aluminium Extrusion Indonesia,659,Pengolahan Logam,Metal & non-metallic minerals,Kota Bekasi,Jawa Barat,"Kota Bekasi, Jawa Barat, Indonesia",14.8176458
106.9788612,-6.1961391,PT. Bakrie Autoparts,654,Otomotif,Capital goods & automobile components,Kota Bekasi,Jawa Barat,"Kota Bekasi, Jawa Barat, Indonesia",14.81464912
106.9755726,-6.2382699,PT. Darmex Oil & Fats,653,Minyak Goreng,Food & Beverage,Kota Bekasi,Jawa Barat,"Kota Bekasi, Jawa Barat, Indonesia",14.75360804
106.8705632,-6.3388502,PT. Indolakto Factory Jakarta,290,Susu,Food & Beverage,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",14.74230881
106.7234347,-6.1564542,PT. BASF Indonesia Cengkareng,254,Kimia,"Petroleum, Chemicals & Plastics",Kota Jakarta Barat,DKI Jakarta,"Kota Jakarta Barat, DKI Jakarta, Indonesia",14.72082568
106.8692849,-6.3379348,PT. Nutricia Indonesia Sejahtera,279,Makanan dan Minuman,Food & Beverage,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",14.61619971
106.8687582,-6.3350514,PT. Frisian Flag Indonesia - Plant Ciracas,291,Susu,Food & Beverage,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",14.28997425
106.8687582,-6.3350514,PT. Frisian Flag Indonesia - Plant Pasar Rebo,292,Susu,Food & Beverage,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",14.28997425
106.9725533,-6.1943225,PT. Sinar Sosro KPB Cakung,651,Makanan dan Minuman,Food & Beverage,Kota Bekasi,Jawa Barat,"Kota Bekasi, Jawa Barat, Indonesia",14.14145321
106.8721224,-6.3323815,PT. Mustika Ratu,272,Jamu,Food & Beverage,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",14.07059542
106.869115,-6.332254,PT. Khong Guan Biscuit Factory Indonesia Ltd.,278,Makanan dan Minuman,Food & Beverage,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",13.99101926
106.9710929,-6.2096063,PT. Hyundai Indonesia Motor,655,Otomotif,Capital goods & automobile components,Kota Bekasi,Jawa Barat,"Kota Bekasi, Jawa Barat, Indonesia",13.8882814
106.9704581,-6.2084712,PT. Arnott's Indonesia,478,Makanan dan Minuman,Food & Beverage,Kab. Bekasi,Jawa Barat,"Kab. Bekasi, Jawa Barat, Indonesia",13.81776654
106.8767723,-6.3257089,PT. Century Tekstil Industri,294,Tekstil,Textile & Clothing,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",13.46756221
106.9004976,-6.1055296,PT. Jakarta Terminal Tank,307,Migas Distribusi,Power & Energy,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",12.99933425
