Reference/ PlantID,lon,lat,Nama Perusahaan,Kab.Kota,Provinsi,distance_from_jakarta_km,Jenis Industri,General Industri Group,Capacity,Unit,Generation (MWh),Fuel,Consumption,Product/Production,Amount,Cross-Check Industry,Note,Source
PROPER 2019,105.3283199,-5.4331799,PT. Tanso Putra Asia,Kota Bandar Lampung,Lampung,Lampung,Activated Carbon,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,106.8220227,-6.1287476,PT. Nipsea Paint & Chemicals,Kab. Gresik,East Java,East Java,Paint,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,107.0967972,-6.2933095,PT. JFE Shoji Steel Indonesia,,,,Steel processing,Steel processing,70000,MT,,,,,,,,https://www.jfe-shoji.co.jp/en/info/news/the-installment-of-facilities-at-p-t-jfe-shoji-steel-indonesia/; https://www.jfe-holdings.co.jp/en/investor/library/group-report/2018/pdf/all.pdf
3423486,107.1328,-6.28668,Bekasi Brake System and Wheel Manufacturing,Bekasi,West Java,-6.28668,Automotive manufacturing,Industrial Manufacturing,,,,,,,,,PT Chemco Harapan Nusantara,https://www.industrialinfo.com/
3341096,112.725,-7.37506,Sidoarjo Alumindo Light Metal Manufacturing,Kab. Sidoarjo,East Java,-7.37506,Automotive manufacturing,Industrial Manufacturing,162000,"Aluminum Sheet, Plate & Foil",T/yr,,,,,,PT Maspion,https://www.industrialinfo.com/
3421606,107.3332,-6.38008,Karawang Automotive Casting Manufacturing,Kab. Karawang,West Java,-6.38008,Automotive manufacturing,Industrial Manufacturing,,,,,,,,,Isuzu Motors Limited,https://www.industrialinfo.com/
3340759,112.7273,-7.41026,Maspion II,Kab. Sidoarjo,East Java,-7.41026,Automotive manufacturing,Industrial Manufacturing,,,,,,,,,PT Maspion,https://www.industrialinfo.com/
PROPER,106.8945605,-6.4624704,PT. Armindo Catur Pratama,Pelapisan Logam,West Java,,Metal Processing,Metals & Minerals,30000,,,,,,,,,
PROPER,107.0379703,-6.2619082,PT. Toyogiri Iron Steel,Peleburan Baja,West Java,,Iron & Steel Plating,Metals & Minerals,500000,,,,,,,,,https://www.toyogiristeel.com/company-profile.pdf
PROPER,,-6.22531,PT. Ispat Bukit Baja,Pengolahan Logam,West Java,107.008525,Steel Iron Bars,Metals & Minerals,120000,,,,,,,,,
3013957,105.9414,-6.03818,Cilegon Chemical Complex,,,,,Chemical Processing (CPI),,,,,,,,,Nippon Shokubai Company Limited,https://www.industrialinfo.com/
1053635,107.4313,-6.41005,Cikampek Formic Acid,,,,,Chemical Processing (CPI),,,,,,,,,PT Pupuk Indonesia Holding Company,https://www.industrialinfo.com/
3078621,106.05,-6.016,Cilegon Coal Tar Pitch Complex,,,,,Chemical Processing (CPI),,,,,,,,,POSCO,https://www.industrialinfo.com/
1039365,112.6381,-7.15296,Gresik (East Java) Fertilizer Complex,,,,,Chemical Processing (CPI),,,,,,,,,PT Pupuk Indonesia Holding Company,https://www.industrialinfo.com/
3030935,106.0665,-5.88818,Cilegon Integrated Vinyl-Chloride,,,,,Chemical Processing (CPI),,,,,,,,,PT Sulfindo Adiusaha,https://www.industrialinfo.com/
3111521,106.8674,-6.23569,Jakarta Timur Flavors,,,,,Chemical Processing (CPI),,,,,,,,,International Flavors and Fragrances Incorporated,https://www.industrialinfo.com/
3026971,117.4936,0.175819,Bontang Methanol,,,,,Chemical Processing (CPI),,,,,,,,,Sojitz Corporation,https://www.industrialinfo.com/
3124310,107.4413,-6.4141,Cikampek Carbon Disulfide,,,,,Chemical Processing (CPI),,,,,,,,,Aditya Birla Group,https://www.industrialinfo.com/
1061821,117.8419,3.461334,Pulau Bunyu Methanol,,,12-Feb-09,,Chemical Processing (CPI),,,,,,,,,PT Pertamina Persero,https://www.industrialinfo.com/
3033276,105.9469,-6.02549,Cilegon Purified Terephthalic Acid (PTA),,,,,Chemical Processing (CPI),,,,,,,,,Indorama Corporation,https://www.industrialinfo.com/
1078324,105.9388,-6.0333,Cilegon Integrated Chlor-Alkali Vinyl Chloride Complex,,,,,Chemical Processing (CPI),,,,,,,,,AGC Incorporated,https://www.industrialinfo.com/
3089718,107.1349,-6.3379,Bekasi Synthetic Resins,,,,,Chemical Processing (CPI),,,,,,,,,PT Aristek Highpolymer,https://www.industrialinfo.com/
1057327,106.0012,-5.97782,Cilegon Purified Terephthalic Acid,,,,,Chemical Processing (CPI),,,,,,,,,PT BP Petrochemicals Indonesia,https://www.industrialinfo.com/
3092730,114.5626,-3.34101,Banjarmasin Chemical Complex,,,,,Chemical Processing (CPI),,,,,,,,,PT Intan Wijaya International Tbk,https://www.industrialinfo.com/
1059161,107.3866,-6.48459,Purwakarta Chemical Complex,,,,,Chemical Processing (CPI),,,,,,,,,Aditya Birla Group,https://www.industrialinfo.com/
3096289,112.7471,-7.58984,Pasuruan Sorbitol,,,,,Chemical Processing (CPI),,,,,,,,,Mitsubishi Shoji Foodtech Company Limited,https://www.industrialinfo.com/
3031674,98.68896,3.779911,Pulau Batam Oleochemicals,,,,,Chemical Processing (CPI),,,,,,,,,PT Ecogreen Oleochemicals,https://www.industrialinfo.com/
3021227,106.0405,-6.01688,Cilegon Butadiene Complex,,,,,Chemical Processing (CPI),,,,,,,,,PT Barito Pacific Tbk,https://www.industrialinfo.com/
3087341,112.637,-7.15693,Gresik Phthalic Anhydride,,,,,Chemical Processing (CPI),,,,,,,,,PT Petrowidada,https://www.industrialinfo.com/
3085447,106.8812,-6.13987,Jakarta Chemical Complex,,,,,Chemical Processing (CPI),,,,,,,,,PT Justus Kimiaraya,https://www.industrialinfo.com/
3118388,106.3503,-6.25237,Tangerang Masterbatch,,,,,Chemical Processing (CPI),,,,,,,,,PT Masolikalerindo Perkasa,https://www.industrialinfo.com/
3020708,105.9362,-6.03456,Cilegon Azodicarbonamide,,,,,Chemical Processing (CPI),,,,,,,,,PT Lautan Luas Tbk,https://www.industrialinfo.com/
3184225,106.8681,-6.47971,Cibinong Adhesives,,,,,Chemical Processing (CPI),,,,,,,,,PT Polychemie Asia Pacific Permai,https://www.industrialinfo.com/
1065739,105.9378,-6.03196,Cilegon Petrochemical Complex,,,,,Chemical Processing (CPI),,,,,,,,,PT Barito Pacific Tbk,https://www.industrialinfo.com/
